arch,exp_id,mean_f1,std_f1,ece,delta_vs_exp06,f1_fake_mannequin,f1_fake_mask,f1_fake_printed,f1_fake_screen,f1_fake_unknown,f1_realperson
convnext,exp07,0.9072628763552796,0.014779793924053498,0.04522977502701059,-0.011137123644720415,0.9501312335958005,0.8880733944954129,0.8615384615384616,0.8870523415977961,0.9671052631578947,0.8923444976076556
eva02,exp07,0.9292847087420597,0.017525078985248306,0.03118583399171386,0.002584708742059738,0.9641025641025641,0.9416195856873822,0.88,0.8864265927977839,0.9787234042553191,0.9269461077844311
dinov2,exp07,0.9254205914259493,0.01384049041776996,0.027964065309430748,-0.006679408574050694,0.9583333333333334,0.9230769230769231,0.9073170731707317,0.8815426997245179,0.9675324675324676,0.9165659008464329
effnet_b4,exp07,0.8825679461365755,0.031013644023983718,0.020743616759939916,-0.0076320538634244706,0.9198966408268734,0.8656716417910447,0.8585365853658536,0.8530259365994236,0.9464882943143813,0.8538011695906432
swinv2,exp07,0.9131239540317221,0.021761676693427424,0.024595550134208038,0.004223954031722044,0.9427083333333334,0.8909426987060998,0.9035532994923858,0.8864265927977839,0.9575163398692811,0.9003601440576231
