arch,mean_f1,std_f1,ece,f1_fake_mannequin,f1_fake_mask,f1_fake_printed,f1_fake_screen,f1_fake_unknown,f1_realperson
convnext,0.9184100323540616,0.014924455574643709,0.052690601861867754,0.9551451187335093,0.9003690036900369,0.8866995073891626,0.8938547486033519,0.975609756097561,0.9001203369434416
eva02,0.9267175706670396,0.023895169020670244,0.032434013341375405,0.9560723514211886,0.9418386491557224,0.8975609756097561,0.867816091954023,0.9739413680781759,0.9274673008323424
dinov2,0.932147478498322,0.0146088446956969,0.04220591823422842,0.9553805774278216,0.9242144177449169,0.9295774647887324,0.8969359331476323,0.9673202614379085,0.9197080291970803
effnet_b4,0.8902234500346221,0.030935257699178167,0.030458054093063836,0.9210526315789473,0.8754578754578755,0.8557692307692307,0.8685714285714285,0.9537953795379538,0.8687350835322196
swinv2,0.9088820197581068,0.034803697415229325,0.026092295886063172,0.9421052631578948,0.8856088560885609,0.8952380952380953,0.8876712328767123,0.9572368421052632,0.8845686512758202
