arch,mean_f1,std_f1,ece,f1_fake_mannequin,f1_fake_mask,f1_fake_printed,f1_fake_screen,f1_fake_unknown,f1_realperson
convnext,0.9192498261770237,0.016018374270605942,0.06513836374345447,0.9686609686609686,0.8846880907372401,0.8921568627450981,0.8863636363636364,0.9855072463768116,0.8984468339307049
eva02,0.9183646903210899,0.011832055241261331,0.02992876594900344,0.9611111111111111,0.9230769230769231,0.8625592417061612,0.8647058823529412,0.9839228295819936,0.915576694411415
dinov2,0.9339086898193054,0.008733887330009174,0.03708424886177552,0.9690140845070423,0.935361216730038,0.892018779342723,0.8920454545454546,0.9839228295819936,0.9322033898305084
effnet_b4,0.8867252519350233,0.010655496930704075,0.09142991819090078,0.9136490250696379,0.8745387453874539,0.819047619047619,0.8870056497175142,0.9528455284552846,0.8722358722358723
