arch,exp,mean_f1,std_f1,f1_fake_mannequin,f1_fake_mask,f1_fake_printed,f1_fake_screen,f1_fake_unknown,f1_realperson
convnext,exp04,0.9254158447346246,0.020997916214477757,0.9578947368421052,0.9046728971962616,0.9154228855721394,0.8969359331476323,0.9773462783171522,0.9029940119760479
eva02,exp04,0.9163420876267638,0.028168575394339233,0.9595959595959596,0.9369024856596558,0.8725490196078431,0.8436578171091446,0.9739413680781759,0.9178403755868545
dinov2,exp04,0.9292205120846845,0.019691053438835582,0.9479166666666666,0.9335863377609108,0.909952606635071,0.8950276243093923,0.9623567921440261,0.929171668667467
effnet_b4,exp04,0.8907457068277083,0.02445316139153744,0.9326424870466321,0.8729281767955801,0.8436018957345972,0.8700564971751412,0.9559543230016313,0.8721071863580999
swinv2,exp05,0.9027830147757218,0.026176744674325743,0.9378238341968912,0.8822429906542056,0.8666666666666667,0.8793565683646113,0.9603960396039604,0.8899755501222494
fsfm,exp05,0.7478524765476583,0.029382829319220562,0.8968824940047961,0.8246628131021194,0.5231788079470199,0.6058823529411764,0.8791593695271454,0.7496790757381258
